Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight,Size
392,Greta,Female,Yes,Light brown,Mixed breed/unknown,1.5,70,Large
393,Oliver,Male,Yes,Black,Single breed,8,30,Small
394,Indy ,Male,Yes,Dark brown,Single breed,9,14,Small
395,Jupiter ,Male,Yes,Black,Single breed,8,85,Large
396,Calla,Female,Yes,White,Mixed breed/unknown,2.5,100,Large
397,Mars,Male,Yes,White,Mixed breed/unknown,2,40,Medium
398,Lainie,Female,Yes,Black,Mixed breed/unknown,4,23,Small
399,Franklin,Male,Yes,Other,Single breed,10,22,Small
400,Pixie,Female,Yes,Light brown,Single breed,6,6,Toy
401,Cody,Male,Yes,Reddish,Single breed,8,22,Medium
402,Cooper,Male,No,No primary color,Single breed,0.5,24,Medium
403,Wicket,Female,Yes,Black,Mixed breed/unknown,11,60,Large
404,Elinor,Female,Yes,White,Mixed breed/unknown,4,45,Large
405,Nova,Male,Yes,No primary color,Single breed,1.5,28,Medium
406,Tessa,Female,Yes,No primary color,Single breed,7,18,Medium
407,Dunkin’,Male,Yes,No primary color,Single breed,6,42,Medium
408,Sophie ,Female,Yes,No primary color,Mixed breed/unknown,6,,Large
409,Day-Z,Female,Yes,White,Mixed breed/unknown,16,30,Medium
410,,Female,Yes,White,Single breed,6.5,28,Medium
411,,Male,Yes,Dark brown,Single breed,14,80,Large
412,,Female,Yes,Dark brown,Single breed,14,55,Large
413,Daisy,Female,Yes,White,Single breed,14,23,Small
414,Ruby,Female,Yes,Black,Single breed,12,22,Small
415,Boone,Male,Yes,White,Single breed,13,,Small
416,Belle,Female,Yes,Black,Single breed,13,23,Small
417,Orville,Male,Yes,Reddish,Mixed breed/unknown,5,80,Large
418,Bohdi,Male,Yes,Light brown,Mixed breed/unknown,3,50,Medium
419,Odin,Male,Yes,Light brown,Mixed breed/unknown,3,45,Medium
420,Emma,Female,Yes,Yellow/blond,Single breed,11,26,Small
421,Katie,Female,Yes,Light brown,Single breed,14,19,Small
422,Molly,Female,Yes,White,Single breed,2,20,Small
423,Chingy,Male,Yes,White,Single breed,1.5,7.5,Small
424,Finch,Male,Yes,Light brown,Single breed,6,29,Medium
425,DASH!,Male,Yes,Other,Mixed breed/unknown,10,85,Large
426,Rooney,Male,Yes,Black,Single breed,13,80,Large
427,Jake,Male,Yes,No primary color,Single breed,5,150,Humongous
428,Otis,Male,No,Yellow/blond,Mixed breed/unknown,0.25,12.4,Small
429,Roxy,Female,No,No primary color,Mixed breed/unknown,0.25,12.25,Small
430,Ghost,Male,Yes,White,Mixed breed/unknown,3.5,33,Medium
431,Khaleesi,Female,Yes,Black,Mixed breed/unknown,10,60,Medium
432,Padfoot,Female,No,White,Mixed breed/unknown,8,30,Medium
433,Rixs,Female,Yes,Other,Mixed breed/unknown,16,8.9,Toy
434,Calvin,Male,Yes,Dark brown,Single breed,2.5,30,Medium
435,Max,Male,Yes,Dark brown,Single breed,9,29,Medium
436,Lady,Female,Yes,Dark brown,Single breed,9.75,31.5,Medium
437,Tommy,Male,Yes,No primary color,Single breed,5,29,Medium
438,Ursula,Female,Yes,Other,Single breed,6,110,Humongous
439,Merritt,Male,Yes,Light brown,Single breed,9,55,Medium
440,Dovi,Female,Yes,Light brown,Single breed,2,5.5,Toy
441,Scooby,Female,Yes,Yellow/blond,Single breed,13,80,Large
442,Frida,Female,Yes,Dark brown,Mixed breed/unknown,6,60,Medium
443,Jynx,Female,Yes,Black,Mixed breed/unknown,3.5,85,Large
444,Thanda,Male,Yes,Black,Mixed breed/unknown,8,55,Large
445,Scooby,Male,Yes,Yellow/blond,Mixed breed/unknown,6,24,Medium
446,Casius,Male,Yes,Dark brown,Mixed breed/unknown,12,21,Medium
447,Edie,Female,Yes,Reddish,Mixed breed/unknown,12,30,Medium
448,Trixie ,Female,Yes,Light brown,Single breed,7,15,Small
449,Kirby,Male,Yes,White,Mixed breed/unknown,13,45,Medium
450,Lola B,Female,Yes,Light brown,Single breed,16,22,Small
451,Lola B,Female,Yes,Light brown,Single breed,16,22,Small
452,Lexie,Female,Yes,Black,Mixed breed/unknown,2.5,55,Medium
453,Sophie,Female,Yes,Light brown,Mixed breed/unknown,8,80,Large
454,Harley ,Male,Yes,Black,Mixed breed/unknown,9,75,Large
